
=== 사누드 프랑코  (catalog #72) ===
        field |  CATALOG |     SAVE
    none(+26) |     3900 |     3900
      command |       82 |       82
         sail |       57 |       57
         know |       52 |       52
        hunch |       51 |       51
         tool |       57 |       57
        sword |       86 |       86
        charm |       84 |       84
        death |       50 |       50
       l_sail |        7 |        7
     l_battle |        9 |        9
     exp_sail |       64 |      899   <diff>
   exp_battle |       14 |       14
          age |       38 |       38
        none1 |        0 |       78   <diff>
          pos |      255 |       10   <diff>
         port |       33 |      255   <diff>
      ability |       24 |       24
        none3 |       37 |      165   <diff>
   none2(+46) |     0091 |     0691

=== 울웨이크 야곱  (catalog #110) ===
        field |  CATALOG |     SAVE
    none(+26) |     3a00 |     3a00
      command |       64 |       68   <diff>
         sail |       52 |       54   <diff>
         know |       82 |       84   <diff>
        hunch |       53 |       55   <diff>
         tool |       88 |       88
        sword |       77 |       77
        charm |       67 |       67
        death |       51 |       51
       l_sail |        5 |        6   <diff>
     l_battle |        3 |        3
     exp_sail |        0 |       97   <diff>
   exp_battle |       60 |       60
          age |       18 |       18
        none1 |        0 |       78   <diff>
          pos |      255 |       10   <diff>
         port |       27 |      255   <diff>
      ability |        2 |        2
        none3 |      101 |      229   <diff>
   none2(+46) |     0072 |     0672

=== 핏셔 개빈  (catalog #116) ===
        field |  CATALOG |     SAVE
    none(+26) |     e3fc |     e3fc
      command |       69 |       80   <diff>
         sail |       87 |      100   <diff>
         know |       73 |       92   <diff>
        hunch |       59 |       69   <diff>
         tool |       81 |       86   <diff>
        sword |       72 |       75   <diff>
        charm |       76 |       76
        death |       72 |       72
       l_sail |        1 |        6   <diff>
     l_battle |        1 |        5   <diff>
     exp_sail |      120 |       60   <diff>
   exp_battle |       50 |      356   <diff>
          age |       29 |       29
        none1 |        0 |      100   <diff>
          pos |      255 |       10   <diff>
         port |       35 |      255   <diff>
      ability |        4 |        4
        none3 |      102 |      230   <diff>
   none2(+46) |     0051 |     0251
